order_id,customer_id,customer_name,country,product_id,product_name,category,order_date,quantity,unit_price,total_amount,order_year,order_month
1,16,George,Spain,106,Monitor 24inch,Electronics,2024-01-02,3,120.0,360.0,2024,1
2,17,Hana,Italy,106,Monitor 24inch,Electronics,2024-01-26,3,120.0,360.0,2024,1
3,17,Hana,Italy,105,Mechanical Keyboard,Electronics,2024-01-19,2,60.0,120.0,2024,1
4,12,Charlie,Spain,104,Laptop Stand,Accessories,2024-01-05,1,30.0,30.0,2024,1
5,14,Ethan,Germany,102,Notebook,Stationery,2024-01-10,1,4.0,4.0,2024,1
6,11,Bob,France,105,Mechanical Keyboard,Electronics,2024-01-16,5,60.0,300.0,2024,1
7,11,Bob,France,105,Mechanical Keyboard,Electronics,2024-01-14,3,60.0,180.0,2024,1
8,13,Diana,Italy,107,Desk Lamp,Home,2024-02-15,5,18.0,90.0,2024,2
9,14,Ethan,Germany,100,USB Cable,Electronics,2024-02-26,5,5.0,25.0,2024,2
10,10,Alice,Germany,101,Wireless Mouse,Electronics,2024-02-24,4,15.0,60.0,2024,2
11,10,Alice,Germany,107,Desk Lamp,Home,2024-02-27,3,18.0,54.0,2024,2
12,13,Diana,Italy,105,Mechanical Keyboard,Electronics,2024-02-23,1,60.0,60.0,2024,2
13,13,Diana,Italy,103,Headphones,Electronics,2024-02-08,2,25.0,50.0,2024,2
14,17,Hana,Italy,101,Wireless Mouse,Electronics,2024-02-03,3,15.0,45.0,2024,2
15,17,Hana,Italy,101,Wireless Mouse,Electronics,2024-03-10,5,15.0,75.0,2024,3
16,14,Ethan,Germany,101,Wireless Mouse,Electronics,2024-03-18,3,15.0,45.0,2024,3
17,13,Diana,Italy,104,Laptop Stand,Accessories,2024-03-15,1,30.0,30.0,2024,3
18,16,George,Spain,105,Mechanical Keyboard,Electronics,2024-03-19,2,60.0,120.0,2024,3
19,14,Ethan,Germany,102,Notebook,Stationery,2024-03-07,2,4.0,8.0,2024,3
20,10,Alice,Germany,104,Laptop Stand,Accessories,2024-03-16,1,30.0,30.0,2024,3
21,11,Bob,France,102,Notebook,Stationery,2024-03-05,1,4.0,4.0,2024,3
22,11,Bob,France,106,Monitor 24inch,Electronics,2024-04-27,5,120.0,600.0,2024,4
23,14,Ethan,Germany,103,Headphones,Electronics,2024-04-28,2,25.0,50.0,2024,4
24,16,George,Spain,104,Laptop Stand,Accessories,2024-04-15,4,30.0,120.0,2024,4
25,15,Fatima,France,101,Wireless Mouse,Electronics,2024-04-11,5,15.0,75.0,2024,4
26,11,Bob,France,107,Desk Lamp,Home,2024-04-19,3,18.0,54.0,2024,4
27,13,Diana,Italy,103,Headphones,Electronics,2024-04-01,3,25.0,75.0,2024,4
28,11,Bob,France,103,Headphones,Electronics,2024-04-12,2,25.0,50.0,2024,4
29,15,Fatima,France,106,Monitor 24inch,Electronics,2024-05-27,1,120.0,120.0,2024,5
30,11,Bob,France,102,Notebook,Stationery,2024-05-28,2,4.0,8.0,2024,5
31,10,Alice,Germany,101,Wireless Mouse,Electronics,2024-05-01,1,15.0,15.0,2024,5
32,13,Diana,Italy,101,Wireless Mouse,Electronics,2024-05-13,1,15.0,15.0,2024,5
33,15,Fatima,France,101,Wireless Mouse,Electronics,2024-05-02,5,15.0,75.0,2024,5
34,10,Alice,Germany,103,Headphones,Electronics,2024-05-06,1,25.0,25.0,2024,5
35,17,Hana,Italy,103,Headphones,Electronics,2024-05-24,1,25.0,25.0,2024,5
36,10,Alice,Germany,106,Monitor 24inch,Electronics,2024-06-20,1,120.0,120.0,2024,6
37,14,Ethan,Germany,101,Wireless Mouse,Electronics,2024-06-08,1,15.0,15.0,2024,6
38,14,Ethan,Germany,105,Mechanical Keyboard,Electronics,2024-06-14,2,60.0,120.0,2024,6
39,10,Alice,Germany,107,Desk Lamp,Home,2024-06-02,5,18.0,90.0,2024,6
40,11,Bob,France,106,Monitor 24inch,Electronics,2024-06-07,3,120.0,360.0,2024,6
41,15,Fatima,France,107,Desk Lamp,Home,2024-06-27,5,18.0,90.0,2024,6
42,12,Charlie,Spain,103,Headphones,Electronics,2024-06-25,1,25.0,25.0,2024,6
